ID,name,city
d46fe22e-7097-4b3b-a982-2b32909a4ebf,International Conference on Human Factors in Computing Systems,East Marybury
951ec40e-9312-4863-9764-d4e2384ce2dc,International Conference on Software Engineering,Armstrongburgh
1c745cc3-f35d-4977-90d7-a7da9c6d34f4,Conference on Innovative Data Systems Research,Schultzport
6874be26-b518-4608-8ea2-2f463c180c16,Technical Symposium on Computer Science Education,West Tammyland
4b87fad0-0a6d-4410-be16-e229b8e81b98,International Symposium on Intelligent Data Analysis,Bakerport
faf12213-09f3-4053-9154-21650216fbde,International Conference on Enterprise Information Systems,West Laurenchester
80c76829-a508-4c34-a142-c2901c38bb40,IEEE Region 10 Conference,Port Jerome
2c7e4ab4-2e0f-4f20-870e-328ce513eb19,International Conference on Computational Collective Intelligence,Michaelhaven
32e6f95e-412d-4742-9fbe-ad79d68b5dc2,IEEE International Enterprise Distributed Object Computing Conference,East Meaganfort
64226715-f561-41ca-b005-d0d1e71120c2,International Conference on Extending Database Technology,New Susanbury
946d3e75-886e-487f-82bd-cf20314f88a6,IEEE International Conference on Data Engineering,Lake Jason
b0be6771-001c-4dc7-b1fa-ed2dc94370e1,"International Conference on Teaching, Assessment, and Learning for Engineering",East Sheryl
ed4be7b3-b11f-4a11-b786-e9b85189e063,American Medical Informatics Association Annual Symposium,Grayport
560f8838-110f-4309-9929-aad28411f87b,USENIX Workshop on Hot Topics in Storage and File Systems,West Robert
4570b19f-0908-4262-a0d1-6a3b50a5c1bd,International Conference on Data Warehousing and Knowledge Discovery,Bensonborough
543ac46f-98e3-495f-b138-a47396ecdab8,Decision Support Systems,North Shirley
a13c86d9-14a9-4b2d-8d8a-c5e23b319309,International Workshop on Data Warehousing and OLAP,Elizabethmouth
a0c45321-de68-41b9-858b-6c548d890db2,International Database Engineering and Applications Symposium,Berryburgh
118db64f-b6e4-4cd7-959b-28865d077f90,International Conference on Signal Processing Systems,Williamsfurt
1cb68d50-b062-4bb5-85b1-a2a2ee76339a,World Summit on the Knowledge Society,Matthewchester
0fcab214-8925-4eac-9c76-533e92cd158a,ACM Symposium on Applied Computing,Medinatown
b0be4aad-e0a4-4397-b9c7-613090d3d3c5,Neural Information Processing Systems,Elizabethmouth
dce63e66-1d57-417d-9fa3-2c4f59919476,IEEE Symposium on Security and Privacy,North Charlesberg
7fbaddf2-4930-43d7-9093-5c950961be61,ACM Asia Conference on Computer and Communications Security,New Susanmouth
a9b8c7ff-8d91-4c4a-bf64-09b78b265628,Conference on Empirical Methods in Natural Language Processing,Susanbury
819f6e24-fb2b-4c67-9d0c-db54125c6ed0,International Conference on Learning Representations,Alexanderburgh
7abe11de-63ad-413a-88c5-912bd54cdac0,International Conference on Computational Statistics,East Jose
8e1cb65c-9931-496b-bef1-415749d38cd2,European Conference on Computer Vision,West Paula
d3cb86a0-705a-4146-88ff-9c8de70d8e1d,Security and Artificial Intelligence,Davidtown
9a26c26c-30a3-447a-9631-6c7f497f2ff0,Italian National Conference on Sensors,New Crystalbury
2cfd7486-fde4-4019-9f90-ff98a484b043,UK Workshop on Computational Intelligence,Gravesport
fbe28248-2d53-4857-95dc-c90bd88501f5,International Conference on Machine Learning,Robinchester
91458e50-7540-4b5e-8458-29d644684195,Computer Vision and Pattern Recognition,Coreyfurt
1bbf70e0-46c5-4047-a400-7b55ef308d3c,Knowledge Discovery and Data Mining,Oneillton
1e0263b0-ef11-432f-a6f8-b412e3cfa5d1,Extended Semantic Web Conference,Hardyview
73f0f1f2-75fb-4917-8701-978601da0e71,International Conference on Intelligent User Interfaces,Robertport
4859323e-b314-46e4-baa1-9ba81b4763dd,International Computer Science Conference,Byrdland
ac2b16a3-f490-455e-b0d9-4166dbbf8f28,European Symposium on Programming,Millerton
7308a56a-cf7a-4473-a983-06a7a7167c16,International Summit on eHealth,Kelleyside
9159c2f6-7a1a-4763-a2b6-cf50ec84616a,IOTA Programming System,Williamsville
3e16c937-9de3-47b6-819c-b211c6d7a278,Computer-Aided Architectural Design Futures,Mooreland
347694d9-9c6e-440e-9609-22b71438aa2e,"IEEE International Conference on Electrical, Computer and Communication Technologies",Cooperbury
d5252e16-0c59-4114-9586-9a8c24c61d7a,International Workshop on the Semantic Web,Smithfort
4fe843e1-b3f2-4e06-9907-c90a54a1e2eb,International Conference on Information and Knowledge Management,Courtneyfurt
b666ab63-5fcd-43fc-89e3-fbfe04c0ad68,IEEE International Conference on Computer Vision,Lake Patrick
174de2d8-022a-43cb-a82d-3e319fa94c42,European Conference on Software Architecture,Tonyashire
93d41d55-9374-449e-b51d-a88c7cacaf1f,International Workshop on Semantic Evaluation,Sparksmouth
57dfa3c8-2f0f-4d43-9334-0f9c66eee9d6,IFIP Working Conference on Database Semantics,South Jamie
c4d0c513-f21f-45a2-aab4-2656d4e3380e,Annual Conference of the IEEE Industrial Electronics Society,Andersonview
a111d99b-bc54-464b-9b08-b6bb9a2da33a,International Conference on Database Systems for Advanced Applications,Riosborough
bdd250f6-1eb1-47d9-88ef-d0d36a39f00b,Uncertainty Reasoning for the Semantic Web,North Keith
3f338ea3-cb1a-443f-b2bb-e256bf701eec,Annual Meeting of the Association for Computational Linguistics,Lake Lynnborough
ba298bce-b27f-4f4d-8501-8316984e34a0,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,Sandraport
71405b63-68ff-4109-817f-8eaaf1758f56,IEEE International Conference on Robotics and Automation,Torresside
df277aa1-4c75-4112-9418-ed98a8bc2e93,International Conference on 3D Vision,Shannonhaven
5f6f3862-44d5-46b1-998f-4a19413f1289,British Machine Vision Conference,West Laura
02940c4b-87b6-4735-81cd-6dae16245e7a,IEEE/RJS International Conference on Intelligent RObots and Systems,New Nancy
adea9fa6-8cae-4ed0-8115-04f241f5b01f,Asian Conference on Computer Vision,Marybury
f5fd3522-dc48-4456-9ed1-36293336870e,International Conference on Intelligent Computing,Riddleshire
ee9b1fad-7ad5-4275-9c64-3d473e90b38f,Network and Distributed System Security Symposium,Owenston
f116950f-b566-4e0c-9588-b9a0033fa42a,International Conference on Data Technologies and Applications,Snyderland
a929bfb4-b35f-4a10-a71d-4325660971ee,Human Language Technology - The Baltic Perspectiv,Pamelabury
8428f100-173b-491e-a231-817b96b2d9cc,International Conference on Computational Logic,New Jenna
ce35ff69-ac88-42ce-bbcd-405db894dbba,Vision,Lake Jasonstad
c8e2703e-aa58-4e0f-a0d4-c244f4121718,Symposium on the Theory of Computing,North Jenniferfurt
